nombre,direccion,telefono,instagram,facebook
Mecanicos a Domicilio Mecticenter Sede Exposiciones,"Cra. 54 #CARRERA 54 54, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573194637156,https://www.instagram.com/mecticenteroficial/,https://www.facebook.com/MecticenterCO/
Mecanicos a Domicilio Mecticenter Sede Exposiciones,"Cra. 54 #CARRERA 54 54, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573194637156,https://www.instagram.com/mecticenteroficial/,https://www.facebook.com/MecticenterCO/
Taller JSD AUTOMOTRIZ,"Cra. 70 #32b - 79, Medellín, Belén, Medellín, Antioquia",,https://www.instagram.com/jsdautomotriz/?hl=es,https://www.facebook.com/Jsdautomotriz/
Taller JSD AUTOMOTRIZ,"Cra. 70 #32b - 79, Medellín, Belén, Medellín, Antioquia",,https://www.instagram.com/jsdautomotriz/?hl=es,https://www.facebook.com/Jsdautomotriz/
"Taller Automotriz , Taller de Latonería y Pintura - Aranautoos WG Motriz","Cra. 65B #30-110, Medellín, Belén, Medellín, Antioquia",'+573014615936,https://www.instagram.com/aranautooswg,https://www.facebook.com/aranautoos
"Taller Automotriz , Taller de Latonería y Pintura - Aranautoos WG Motriz","Cra. 65B #30-110, Medellín, Belén, Medellín, Antioquia",'+573014615936,https://www.instagram.com/aranautooswg,https://www.facebook.com/aranautoos
Rapimecanicos,"Cl. 118 #65-50, Florencia, Medellín, Castilla, Medellín, Antioquia",'+573133997298,https://www.instagram.com/rapimecanicos.co/,https://m.facebook.com/people/Rapimecanica/61564347392530/
Rapimecanicos,"Cl. 118 #65-50, Florencia, Medellín, Castilla, Medellín, Antioquia",'+573133997298,https://www.instagram.com/rapimecanicos.co/,https://m.facebook.com/people/Rapimecanica/61564347392530/
EuroTaller Los Mellizos Ingeniería Automotriz,"Carrera 50E, Cl. 7 Sur #25 #, Medellín, Antioquia",'+576042553566,https://www.instagram.com/eurotallerlosmellizosing/,https://www.facebook.com/losmellizostaller/?locale=es_LA
EuroTaller Los Mellizos Ingeniería Automotriz,"Carrera 50E, Cl. 7 Sur #25 #, Medellín, Antioquia",'+576042553566,https://www.instagram.com/eurotallerlosmellizosing/,https://www.facebook.com/losmellizostaller/?locale=es_LA
Multicar San Lucas,"Carulla San Lucas, Cl. 20 Sur #27-124, El Poblado, Medellín, El Poblado, Medellín, Antioquia",'+573108396898,https://www.instagram.com/multicar.sas/,https://www.facebook.com/MulticarMedellin/
Full ejes Medellín,"Cra. 48 # 39-24, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573016760173,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
TALLERAMA,"Cra. 48 #40-49, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573174269801,https://www.instagram.com/tallerama_med/,http://www.facebook.com/InyeCar
TALLERAMA,"Cra. 48 #40-49, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573174269801,https://www.instagram.com/tallerama_med/,http://www.facebook.com/InyeCar
Centro automotriz - Taller mecanico Speed Car,"Cra. 51D #67-79, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",'+573128903754,https://www.instagram.com/speedcarjl/,https://www.facebook.com/speedcarjl
Centro automotriz - Taller mecanico Speed Car,"Cra. 51D #67-79, Aranjuez, Medellín, Aranjuez, Medellín, Antioquia",'+573128903754,https://www.instagram.com/speedcarjl/,https://www.facebook.com/speedcarjl
TALLER AUTOMOTRIZ JHONOSCAR,"Cra. 47 #75-91, El Carmelo, Itagüi, Medellín, Antioquia",'+575576866,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
TALLER AUTOMOTRIZ JHONOSCAR,"Cra. 47 #75-91, El Carmelo, Itagüi, Medellín, Antioquia",'+575576866,https://www.instagram.com/magos_by_aristi/,http://www.facebook.com/InyeCar
Taller Auto-Matic Medellín,"Cra. 65GG #24-46, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+573113769823,https://www.instagram.com/taller.automatic/?hl=es,https://www.facebook.com/p/Taller-Auto-Matic-100063718914254/?locale=es_LA
Taller Auto-Matic Medellín,"Cra. 65GG #24-46, Guayabal, Medellín, Guayabal, Medellín, Antioquia",'+573113769823,https://www.instagram.com/taller.automatic/?hl=es,https://www.facebook.com/p/Taller-Auto-Matic-100063718914254/?locale=es_LA
Taller automotriz (Magos by Aristi),"Cl. 3c #77a-15, Medellín, Belén, Medellín, Antioquia",'+573116086472,https://www.instagram.com/magos_by_aristi/,https://m.facebook.com/story.php?story_fbid=721704216507318&id=100044523321799
Taller automotriz (Magos by Aristi),"Cl. 3c #77a-15, Medellín, Belén, Medellín, Antioquia",'+573116086472,https://www.instagram.com/magos_by_aristi/,https://m.facebook.com/story.php?story_fbid=721704216507318&id=100044523321799
Mecticenter Taller Automotriz Sede Exposiciones,"Cra. 54 #36-20, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573217929800,https://www.instagram.com/mecticenteroficial/,https://www.facebook.com/Mecticenter
Mecticenter Taller Automotriz Sede Exposiciones,"Cra. 54 #36-20, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573217929800,https://www.instagram.com/mecticenteroficial/,https://www.facebook.com/Mecticenter
