nombre,direccion,telefono,instagram,facebook
EuroTaller Autoreparaciones Dumar,"Cra. 64A #28-14, San Gabriel, Itagüi, Antioquia",'+573116756590,https://www.instagram.com/autoreparaciones_dumar/,https://m.facebook.com/people/Autoreparaciones-Dumar/100056967933854/
"""Asesoría muy profesional, los recomiendo.""","Cra. 64A #28-14, San Gabriel, Itagüi, Antioquia",'+573116756590,https://www.instagram.com/autoreparaciones_dumar/,https://m.facebook.com/people/Autoreparaciones-Dumar/100056967933854/
Servicoches Antioquia,"66 B, Cra. 48 #sur 84, Sabaneta, Antioquia",'+573218392785,https://www.instagram.com/servicochesantioquia/,https://www.facebook.com/servicochesdelsur/?locale=es_LA
"""Excelente taller muy honestos y confiables.""","66 B, Cra. 48 #sur 84, Sabaneta, Antioquia",'+573218392785,https://www.instagram.com/servicochesantioquia/,https://www.facebook.com/servicochesdelsur/?locale=es_LA
Taller El Mejor Auto,"Cl. 37b #42344, Germania, Itagüi, Antioquia",'+5742815092,,
Taller Industrial,"Cl. 79 Sur, El Palmar, La Estrella, Antioquia",,,
Trini Autos,"055412, Cl. 36 #54 - 48, Malta, Itagüi, Antioquia",'+573137209101,,
"""El artista de los carros!""","055412, Cl. 36 #54 - 48, Malta, Itagüi, Antioquia",'+573137209101,,
taller y almacen tecnicentro antioquia s.a.s,"urbana, Cra. 48A #67 sur 35, Sabaneta, Antioquia",'+573021209797,https://www.instagram.com/tecnicentroantioquia/,https://www.facebook.com/tallerdelsursabaneta
"""... LUGAR PARA HACER REPARACIÓN DE LOS VEHÍCULOS...""","urbana, Cra. 48A #67 sur 35, Sabaneta, Antioquia",'+573021209797,https://www.instagram.com/tecnicentroantioquia/,https://www.facebook.com/tallerdelsursabaneta
Multimotos la bomba/servicio automotriz,"Cra. 50A # 38-30, Germania, Itagüi, Antioquia",'+573105116696,,https://www.facebook.com/atmopelsa/?locale=es_LA
TALLER DE MECANICA SOLO CARS,"Cra. 46 #74S-24, Sabaneta, Antioquia",'+5743667442,https://www.instagram.com/tallerdelsursabaneta/,
Taller de Servicio Automotriz Jorge Nuñez m,"Calle 40, Sta. Maria la Nueva #57-16, Itagüi, Antioquia",,,https://www.facebook.com/100086929381810/photos/538998389007803/
TALLER PROCIME,"Cra. 60, Portal de Ditaires, La Estrella, Antioquia",,,
Serviautox YR itagui,"Calle 36 ## 66 B -94, Itagüi, Antioquia",'+573016775321,,https://www.facebook.com/serviautoxyr/?locale=es_LA
"""Exelente servicio el señor Yeison rico muy atento y profesional.""","Calle 36 ## 66 B -94, Itagüi, Antioquia",'+573016775321,,https://www.facebook.com/serviautoxyr/?locale=es_LA
Taller La 40,"Dg. 40 #3750, Angeles, Itagüi, Antioquia",,,
"""Muy buen servicio""","Dg. 40 #3750, Angeles, Itagüi, Antioquia",,,
Taller Dampro - Sabaneta,"Cl. 78D Sur #47g -15, Sabaneta, Antioquia",'+573142467564,https://www.instagram.com/servitalleres_dampro/,https://www.facebook.com/talleresdampro/?locale=es_LA
"""Excelente servicio recomendados""","Cl. 78D Sur #47g -15, Sabaneta, Antioquia",'+573142467564,https://www.instagram.com/servitalleres_dampro/,https://www.facebook.com/talleresdampro/?locale=es_LA
AM motriz taller,"055413, Medellín, Antioquia",'+573023441924,https://www.instagram.com/zonamotriz/?hl=es,
Autocarlos,"Cl. 34A #40139, Germania, Itagüi, Antioquia",'+573715840,,
"""Excelente taller , se los recomiendo, buenos precios y experiencia""","Cl. 34A #40139, Germania, Itagüi, Antioquia",'+573715840,,
EL TALLER,"Cl. 83c Sur #55-271, Quintas de la Quinta, La Estrella, Antioquia",'+573104558936,https://www.instagram.com/loschecheresdejuanatallerarte/?hl=es-la,https://www.facebook.com/p/Taller-Automotriz-La-Estrella-100054612663523/
MAXCAR Taller Automotriz,"Cl. 36 #66b 70, Itagüi, Antioquia",'+573059148512,https://www.instagram.com/petitcars7/,
TALLER MECANICA AUTOMOTRIZ SANTIAGO OSORIO,"Cl 56 Sur #40b-146, Sabaneta, Envigado, Medellín, Antioquia",'+573113725778,,
"""Excelente atención, recomendado para los arreglos que necesite...""","Cl 56 Sur #40b-146, Sabaneta, Envigado, Medellín, Antioquia",'+573113725778,,
taller autoservicio chatarro,"Cl. 72 Sur #46 - 36, Sabaneta, Antioquia",'+5743781066,https://www.instagram.com/tecnicentroserviautos/?hl=es-la,
Auto Calle,"a 40-153, Cl. 36a #40-1, Itagüi, Antioquia",'+573136177328,,
